idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1617000E720000,1000,651.5,278.9,95,98,19.9,209,54,12653043,24753.9,49,229.9,5.1,27,81,156.9,8.9,0,17.9,4,32,63,43.5,68.9,160,119,113,30.2,0
CRS5490RES1000mN1617000E721000,1000,764,332.9,133,130,28.9,213,68,13682395.5,28093.9,62.9,270,1.9,50.1,77.9,193,10,0,24,10.5,43.6,63.9,47,93.1,180,123.9,120.9,56.1,1
CRS5490RES1000mN1617000E726000,1000,863.5,373.1,114,128.9,25,95.1,113,16293500.2,27828.9,268.1,105,0,11,31.1,327.1,3.9,249,29,21,55.9,102.9,71.5,133.1,180,148,105.1,16,1
CRS5490RES1000mN1617000E727000,1000,460,212,85.1,86,13,96,60.1,7691658.5,15787,80.9,131.1,1,20,80.1,101,9.9,63,11,8,33,46,30,38,116,75,67,35,1
CRS5490RES1000mN1618000E704000,1000,2528.5,1234,168,509.9,50.9,610,243.1,69195113.1,99929,779,455,2,11.9,744.1,474,2,175,95.1,60,127.4,177,152,419.1,503.1,373.8,510.1,108.9,2
CRS5490RES1000mN1618000E705000,1000,338.5,140.9,14.8,50,10.9,83,12.9,11524334,14361.1,57.1,83.8,0,0.8,53.1,85.1,1.9,0,14,6.2,21.1,25.4,23.1,54,61.9,57.9,60,14.9,0
CRS5490RES1000mN1618000E706000,1000,987.5,475.9,88,211,24.1,261.1,83,24699524.8,34468,264,211.9,2,51.7,132,290.2,0,0,35.9,19.1,48.3,92.1,55.9,150.2,235,141.9,131,77.1,1
CRS5490RES1000mN1618000E707000,1000,2514,1236,311,547,62.1,393,290,54431705.5,93103,904,332,2,87,429,709,9,536,53.5,44,126,233,171.5,327.1,515,462,412.9,168,1
CRS5490RES1000mN1618000E708000,1000,3041.5,1522.1,503.1,688,61,462,390.9,59037958.7,100989.1,1015.1,507,6,373,461.1,676,6,767,97,49.5,159.1,272.4,189.9,400.5,619,516.1,482,255,1
CRS5490RES1000mN1618000E710000,1000,2884,1390,337,568.9,70,310.1,473,58682473.7,96242,1213.9,176.1,25,27,209.1,1126,2.9,830,110,65,211,313.5,258.5,446.9,670.1,432.1,295,79.9,2
