idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS2975RES1000mN7684000E361000,1000,254.5,95.1,33.9,24.1,13.9,41,26.1,4763501.3,8168.9,25,70.1,0.8,4.9,22.2,64.9,2.3,17,14.3,8,20.4,31.6,19,46.1,52.9,27.1,33.1,2,0
CRS2975RES1000mN7684000E362000,1000,192,72,19,19,7,48,9,4534308.6,6214,9,63,0,4,6,57,5,0,2,4,12.5,28.5,21,27,38,38,17,4,0
CRS2975RES1000mN7685000E334000,1000,65.5,19.1,8,2,3.9,13,3,1021522.7,1357.1,0,19.1,0,3.8,4.1,7,4.2,0,2,3.9,1.5,8,8,9,18.1,10,4,1,0
CRS2975RES1000mN7685000E344000,1000,543,174,48.8,34.1,26,79.9,26,12016308.3,17266.9,4,170,0,4.9,28,128.1,13,0,36,27.5,54,70.6,32.1,115.1,124.9,50,20.8,4,8
CRS2975RES1000mN7685000E345000,1000,1421,504,168,101.9,59.9,314.9,83,30303465.5,45613,14.9,489.1,2,39.1,229.1,218.8,15,0,71.9,39,112.5,139.9,105.5,262,305.8,190.2,149.2,44,1
CRS2975RES1000mN7685000E346000,1000,3130.5,1161.9,297,289.9,120,503.9,248.9,67974885.8,93299.9,570,591.9,0,46,145.9,958,12,154,194,115.5,252,356,248,705.1,620,348,233,39.9,19
CRS2975RES1000mN7685000E347000,1000,1045.5,361,91,57,45,134,89,21463882,29113,190,171,0,2,8,350,1,93,70,49,79.5,135,91,235,239,90,42,11,4
CRS2975RES1000mN7685000E348000,1000,434,152,49,38.9,24,92.1,30.9,8418265.1,12838,7,145,0,15.8,15,121.2,0,0,25,19.9,30.9,49.5,31.6,86.2,106,42.9,33,8,1
CRS2975RES1000mN7685000E349000,1000,835.5,273.1,95.1,55.9,42.1,198,45,16213090.1,23993.9,4,269.1,2.1,35,33.9,200.1,2,0,51.9,22,49.9,89.6,66.9,178.9,191.1,104.1,70.1,8,3
CRS2975RES1000mN7685000E350000,1000,46,21.1,8.1,6,1,3,4.9,913540.6,1905,0,21.1,0,7.2,0,10.9,3,0,1,1,1,3,5.9,7.1,9.9,4.9,6,6.2,0
CRS2975RES1000mN7685000E351000,1000,636,248,72.9,75.1,26.1,142.9,26.1,13476348,21152.9,58,190,0,13,32,201,2,0,33.9,9,49.5,60.4,48.1,108.1,150,95,67.9,13.1,1
CRS2975RES1000mN7685000E352000,1000,2765,934,332,162,130,537,226,54135481.4,81603,258,676,2,31,141,757,3,253,151.5,95.5,223.5,363,233.5,519,627,314,198,38,2
CRS2975RES1000mN7685000E353000,1000,375.5,138.9,44.1,26.2,9.9,87.9,17,7919836.5,12534.9,2,136.9,0,17.1,37,84.8,0,0,21.1,9.1,22.9,29.1,28.3,73.8,80,54.1,49,8.1,0
CRS2975RES1000mN7685000E354000,1000,330,106,24.2,20.9,21.9,78.9,9.8,7525472,9470.8,5,101,1,13.2,15.1,76,0.7,0,17.1,6.8,28.8,35.6,31.7,63.2,77.9,45.8,19.1,4,0
CRS2975RES1000mN7685000E355000,1000,77.5,25.9,4.1,3,4.1,15.9,3,1652555.7,2759,0,25.9,0,3,4.1,18,0.8,0,10.4,0.8,5,4.1,5.1,18,14,7.1,7.9,5.1,0
CRS2975RES1000mN7685000E356000,1000,33,12.1,5.1,2,1.1,5.1,1.1,647372.3,1233.1,0,12.1,1.1,6.9,1.1,3,0,0,1.1,1.1,3,3,2,4.8,4.9,5.1,8,0,0
CRS2975RES1000mN7685000E357000,1000,279.5,138,20,65.1,4,55,23.1,6405476.9,9323.1,106,32,0,2.9,6.1,127,2,0,14.9,9.9,17,24.5,17.1,78,63,27,22.1,5,1
CRS2975RES1000mN7685000E358000,1000,382.5,142,58,45.1,18,45.9,34,6811534,11629,41,101,0,5.9,33,103.1,0,73,17,11.9,27.9,39.5,38,60,86.1,58,32.1,11,1
CRS2975RES1000mN7685000E359000,1000,622,225,107.9,53,27.9,135,56,10051062.2,17918,12,213,0,5,53,162,5,0,29,16,48.4,68.5,55,93.1,150,89,61,12,0
CRS2975RES1000mN7685000E360000,1000,1028.5,328.9,127,57.1,55,185,53,17923787.7,28260,17,311.9,1,11,73.8,235,8.1,0,67,37.9,98.4,132,88,171,223.1,119,68,16.1,8
CRS2975RES1000mN7686000E344000,1000,2111,782.9,240.9,202.1,94.2,222.9,208.1,43879599.8,62906,399,383.9,9.9,75.9,147.1,530,20,158,130.8,68.1,190,237.7,198.5,418.1,412.9,242.9,157,40,15
CRS2975RES1000mN7686000E345000,1000,2037,751.1,144.1,171,84,422.1,130,52329644.7,73590.1,97,654.1,6,60.1,288,390,7,3,97.5,51.5,152,208.5,143,361.5,433,282,247.1,56.9,4
CRS2975RES1000mN7686000E346000,1000,1471.5,547,108,121,50,159,128,36634928.2,43398,330,217,0,1,10,536,0,139,115.5,64.5,134,162.5,127.8,450,273.1,89.1,46.1,5.9,3
CRS2975RES1000mN7686000E347000,1000,1356,501.1,137.1,123,61,180,115.1,26258501.7,36452.9,265,236.1,0,16,124.1,360,1,86,97.4,48.1,102,141.5,94.9,372,217,141,120,22.1,0
CRS2975RES1000mN7686000E350000,1000,50,16,0,1,4,10,2,1546395.8,2123,0,16,0,0,7.9,8.1,0,0,1.9,2,4,5,5,5,10,10,7.1,0,0
CRS2975RES1000mN7686000E351000,1000,66,22,4,7.1,2,4,4,1211882.7,1803,0,22,0,14.9,3,4.1,0,0,3,1.1,3,5,11.9,11,13.9,6,8.1,3,0
CRS2975RES1000mN7686000E352000,1000,53,18,0,1,2,10,3,1560707.1,2141,0,18,0,0,1,17,0,0,2.5,2,4,3,6,10.5,12,8,5,0,0
CRS2975RES1000mN7686000E353000,1000,580.5,197,89,39,30,105,36,10031011.6,16094,55,142,0,17,45,135,0,43,32.5,9.5,35.5,63,54,101,120,91,57,17,0
CRS2975RES1000mN7686000E354000,1000,203,74.9,27.9,19.9,11.1,48.1,16.1,4217894.2,6451.1,2.8,72.1,1.9,7,25.1,40.9,0,0,4.9,2,13,24,15,33,45.9,41.1,14.1,10,0
CRS2975RES1000mN7686000E355000,1000,141.5,43,8,6.9,7,28.9,3.1,3564228.1,4233,4,39,0,5,10.9,27.1,0,0,9.3,3.9,11,11.1,8,30,25,23,18.2,2,0
CRS2975RES1000mN7687000E344000,1000,1392,586,161,198.9,49,167.9,127.1,30054449.5,40348,322.1,263.9,2.9,32.1,157,389.9,4.1,11,78.5,40,114.9,144,86.6,339,251.8,148.1,154.1,35,0
CRS2975RES1000mN7687000E345000,1000,202,74.1,12.1,13,6.9,47,11,6435220.7,9326.9,14,60.1,1.1,5.9,20.1,40,7,0,8.9,6,15,18,13.1,35.1,37,32.9,29,5.9,1.1
CRS2975RES1000mN7687000E346000,1000,771,289,54,60,25,167,39,21688814.4,31843,75.2,213.8,2,5,112,167,3,0,28.5,17.9,44.8,64.1,71.6,125.1,147.9,137,111.1,23,0
CRS2975RES1000mN7687000E350000,1000,233,83,25,11,10,50,11,5847149.1,8422.1,3,80,1,9,40,32,1,0,10.9,4,13,23,21,32,52,38.1,32,7,0
CRS2975RES1000mN7687000E351000,1000,849.5,290.9,48.1,53.1,33,206.9,41,21396067.2,28548,9,281.9,3,22,70.9,194,1,0,40,29,63.1,78,57.6,174,174.9,127,80.9,16,9
CRS2975RES1000mN7687000E352000,1000,70,26.1,14,7,3,19,4,943286.1,1946,2,24.1,0,0,8.1,17,1,1,1,1,5,9,5,10.9,18,8,11.1,1,0
CRS2975RES1000mN7687000E353000,1000,455,170.1,65.2,48.9,16,90.1,26.9,8377169.5,12940,14,156.1,1,11.8,94.1,61.1,2.1,24,17.6,9.8,30.1,47.5,28,81,89,70,70.1,10.9,1
CRS2975RES1000mN7687000E354000,1000,2678.5,961,467.1,232,140.9,182,337,41193912.7,68835,685,276,2,53.9,108.9,789.2,7,540,208,109.9,238.5,372,278,524,507,226,171,41.1,3
CRS2975RES1000mN7687000E355000,1000,1597,626.1,286.1,182.1,60.1,166,182.1,26211657.4,46059,345.1,281,2,52,250.9,317.2,4,331,94,50.5,143.9,177.6,138.1,273,318,208,150.9,43,0
CRS2975RES1000mN7688000E332000,1000,213.5,71.9,24.2,15,9.9,53,8,3707779.8,5282.9,0,71.9,0,0,10.8,57,4.1,0,4.1,4,12,22.5,12.1,37,50,38.9,30,2.9,0
CRS2975RES1000mN7688000E333000,1000,322.5,112.9,44.7,20.8,13.8,87.2,19.2,5488269.9,7791.1,0,112.9,0,3,12.1,88.9,8.9,7.8,10.9,4.9,12.4,30.3,22.9,51.1,82.9,65.1,33.8,8.2,0
CRS2975RES1000mN7688000E334000,1000,1582.5,574,200,128,62.1,238.1,135,34815446.7,48377,268,306,1,15.9,103.1,441,13,265,107,55.7,129.9,155.4,112.9,317.6,319.9,214.1,138,31,1
CRS2975RES1000mN7688000E335000,1000,1415,481.9,88,81.9,69.1,287,57.9,38875068.4,45629.9,48,433.9,6,94.9,160.9,200.1,20,14,75.6,38.5,91.4,152.4,88.9,239.1,342.9,179.1,171,36.1,0
CRS2975RES1000mN7688000E336000,1000,373.5,173.9,19,65,7,73.9,36.1,10719571.4,12387.9,113.9,60,0,8,11.1,153.9,0.9,0,19.5,8,23.5,36.6,26.1,98.9,82.9,45.9,18.1,12,2
CRS2975RES1000mN7688000E337000,1000,294.5,133,16,55,6,43.9,15,9267487.2,11655,87,46,1,12,26,94,0,0,11,7.5,20.5,18.6,22,45.9,61,58,40,10,0
CRS2975RES1000mN7688000E338000,1000,4926.5,2021,625,699,204,467,486,103209506.7,142870,1620,401,0,196,222,1597,6,994,308.5,148,391,539.5,426.5,1019,992,539,408,141,14
CRS2975RES1000mN7688000E339000,1000,4552,2025,506,782,151,546,405,103891075.2,136148,1533.1,491.9,3,371.9,530.1,1113,7,569,229,128.3,278,417,394.6,879,878,623,550.1,171,4
CRS2975RES1000mN7688000E340000,1000,7845,3375,1192,1308,317,720,885,145386962.7,206364,2863,512,1,358,758,2252,6,1381,476.5,251.5,618,858,596,1504,1495,900,806,266,74
CRS2975RES1000mN7688000E341000,1000,7942,3578,1258,1494,279,536,885,143379515,220297,3163,415,2,173,589,2784,30,832,562.4,274.4,634.4,783.6,798,1943.1,1391,787,572.1,136,60
CRS2975RES1000mN7688000E342000,1000,9363,3957,1916,1555,387,439,973,144227161.4,232719,3303.1,653.9,2,215,1581.9,2072.1,86,2440.9,477.5,261,686,1016.4,883,1562.1,1848,1312,987,242,88
CRS2975RES1000mN7688000E343000,1000,3994.5,1682,709,664.1,155.1,216,416,68162256.1,102843.1,1190,492,1,258,382.9,1022,18.1,705,243.4,131.5,323.9,443.5,345,766,756,454.1,405,98.1,28
CRS2975RES1000mN7688000E346000,1000,532.5,200,46,48,22,133,37,12448357.5,19817.9,14,186,0,23,86.9,90.1,0,0,13,9.5,28,64.1,39,72,132,56,93.9,25,0
CRS2975RES1000mN7688000E347000,1000,478.5,166,56.8,35.2,23,116.8,29,9640057.8,16014,4.9,161.1,8,56,26.8,67.2,8,0,8,11.3,35.9,40,26.2,68.9,115,74.3,69,28.9,1
CRS2975RES1000mN7688000E348000,1000,1742.5,631,254,162,83,317,139,30905187.6,46763,228,403,3,66,56,501,5,163,88.4,44.5,107.5,178,175,292,369,239,186.1,58,5
CRS2975RES1000mN7688000E349000,1000,3938.5,1531,677,487,171,417,434,64702381.8,108811,1049,482,4,87,316,1114,10,657,250.5,153,309.9,456.5,332.1,778.5,734,487,322,86,29
CRS2975RES1000mN7688000E350000,1000,2305,849,347,212,86,176,262.1,40132941.9,66440,552,297,0.9,3,15.1,828,2,316,159.5,94.1,234,282,190.6,442,435.9,247.9,190,25,4
CRS2975RES1000mN7688000E351000,1000,1835,695,222,188,74.1,315,136,39954689.2,56277,272.1,422.9,2,12,17.1,660.9,3,285,87.5,47,112.5,175,179.1,346.9,401.9,311,140,27.1,7
CRS2975RES1000mN7689000E333000,1000,58.5,22,11.1,5,2,12.9,6,851199,1380.1,0,22,0,0.9,1.1,14,6,0,0,0,1.6,9.1,5.9,6.9,17,9.1,6.9,2,0
CRS2975RES1000mN7689000E334000,1000,1711,621,83.9,118,66,362,120,47403836.2,55330,196,425,0,6,143.1,462,9.9,0,89,55.5,132,183.5,120,344,389,233,134,31,0
CRS2975RES1000mN7689000E335000,1000,1795,644,101,112,71,366,134,50516519.2,60066,150,494,5,39,173,420,7,31,74.5,54.5,148.5,214,151.5,310,390,249,173,30,0
CRS2975RES1000mN7689000E336000,1000,1692.5,605.9,89.1,130,71.1,339,98,49125487.2,58551.9,162,443.9,10,99.9,163,324,9,78,88.5,56.1,132,183.9,117,266.9,397,195,196.1,58,2
CRS2975RES1000mN7689000E337000,1000,286,101,2,15.9,7.9,22.1,8,8945367.5,9174.1,70.1,30.9,1,37,12.9,50.1,0,0,13,13.6,32.9,33.5,15,60.1,78,18,15.8,6.1,0
CRS2975RES1000mN7689000E338000,1000,4524,2078,516,894.9,147,727,402.1,103859421.2,148640.9,1442,636,20,519.9,459,1066.1,13,419,172.5,101.5,253.5,454,332.4,759,950,622.1,599,268,12
