idcar_nat,Canton,Code_INSEE,Departement
CRS3035RES1000mN2032000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2032000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2033000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2033000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2034000E4252000,Grand Sud,2A007,2A
CRS3035RES1000mN2034000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2035000E4252000,Grand Sud,2A007,2A
CRS3035RES1000mN2035000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2044000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2045000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2052000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2052000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4254000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4255000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2054000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2055000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4254000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4255000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2055000E4261000,,,na
CRS3035RES1000mN2056000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2056000E4261000,,,na
CRS3035RES1000mN2057000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2057000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2058000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2058000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2059000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2059000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2060000E4258000,Grand Sud,2A007,2A
CRS3035RES1000mN2060000E4259000,Bavella,2A006,2A
CRS3035RES1000mN2060000E4267000,Bavella,2A006,2A
CRS3035RES1000mN2061000E4266000,Bavella,2A006,2A
CRS3035RES1000mN2061000E4267000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4262000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4263000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4264000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4265000,Bavella,2A006,2A
CRS3035RES1000mN2063000E4262000,Bavella,2A006,2A
CRS3035RES1000mN2063000E4263000,Bavella,2A006,2A
CRS3035RES1000mN2064000E4228000,,,na
CRS3035RES1000mN2064000E4229000,Sartenais-Valinco,2A009,2A
CRS3035RES1000mN2088000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2089000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2090000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2091000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2092000E4228000,Taravo-Ornano,2A011,2A
CRS3035RES1000mN2092000E4229000,Taravo-Ornano,2A011,2A
CRS3035RES1000mN2093000E4229000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2094000E4224000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2094000E4225000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2094000E4229000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2095000E4224000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2095000E4225000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2096000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2096000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4226000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4230000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2098000E4271000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2099000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4230000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2099000E4271000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2100000E4241000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2100000E4242000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2120000E4219000,Sevi-Sorru-Cinarca,2A010,2A
CRS3035RES1000mN2128000E4222000,Sevi-Sorru-Cinarca,2A010,2A
CRS3035RES1000mN2128000E4277000,Ghisonaccia,2B013,2B
CRS3035RES1000mN2129000E4277000,Ghisonaccia,2B013,2B
CRS3035RES1000mN2129000E4279000,Castagniccia,2B010,2B
CRS3035RES1000mN2132000E4260000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2134000E4258000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2134000E4260000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2136000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2137000E4255000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2137000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4259000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2139000E4262000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2139000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2141000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2141000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2142000E4267000,Castagniccia,2B010,2B
CRS3035RES1000mN2142000E4282000,,,na
CRS3035RES1000mN2143000E4267000,Castagniccia,2B010,2B
CRS3035RES1000mN2143000E4268000,Castagniccia,2B010,2B
CRS3035RES1000mN2143000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2144000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2145000E4282000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4278000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4279000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4280000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4281000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4278000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4279000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4280000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4281000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4273000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4274000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4275000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4276000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4275000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4276000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4277000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2160000E4231000,île-Rousse,2B015,2B
CRS3035RES1000mN2160000E4272000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4282000,,,na
CRS3035RES1000mN2161000E4231000,île-Rousse,2B015,2B
CRS3035RES1000mN2161000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4282000,,,na
CRS3035RES1000mN2162000E4229000,Calvi,2B007,2B
CRS3035RES1000mN2162000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2162000E4282000,,,na
CRS3035RES1000mN2163000E4228000,Calvi,2B007,2B
CRS3035RES1000mN2163000E4229000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4224000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4225000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2164000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2164000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2165000E4224000,Calvi,2B007,2B
CRS3035RES1000mN2165000E4225000,Calvi,2B007,2B
CRS3035RES1000mN2165000E4273000,Biguglia-Nebbio,2B005,2B
CRS3035RES1000mN2165000E4274000,Biguglia-Nebbio,2B005,2B
CRS3035RES1000mN2165000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2167000E4272000,Biguglia-Nebbio,2B005,2B
CRS3035RES1000mN2167000E4273000,Biguglia-Nebbio,2B005,2B
CRS3035RES1000mN2168000E4232000,île-Rousse,2B015,2B
CRS3035RES1000mN2168000E4233000,île-Rousse,2B015,2B
CRS3035RES1000mN2168000E4234000,île-Rousse,2B015,2B
CRS3035RES1000mN2168000E4235000,île-Rousse,2B015,2B
CRS3035RES1000mN2169000E4232000,île-Rousse,2B015,2B
CRS3035RES1000mN2169000E4233000,île-Rousse,2B015,2B
CRS3035RES1000mN2169000E4234000,île-Rousse,2B015,2B
CRS3035RES1000mN2169000E4235000,île-Rousse,2B015,2B
CRS3035RES1000mN2169000E4268000,Biguglia-Nebbio,2B005,2B
CRS3035RES1000mN2170000E4232000,île-Rousse,2B015,2B
CRS3035RES1000mN2170000E4233000,île-Rousse,2B015,2B
CRS3035RES1000mN2170000E4234000,,,na
CRS3035RES1000mN2170000E4235000,,,na
CRS3035RES1000mN2170000E4274000,Bastia-4,2B004,2B
CRS3035RES1000mN2171000E4274000,Bastia-4,2B004,2B
CRS3035RES1000mN2171000E4275000,Bastia-4,2B004,2B
CRS3035RES1000mN2172000E4272000,Bastia-4,2B004,2B
CRS3035RES1000mN2172000E4273000,Bastia-4,2B004,2B
CRS3035RES1000mN2172000E4274000,Bastia-4,2B004,2B
CRS3035RES1000mN2172000E4275000,Bastia-4,2B004,2B
CRS3035RES1000mN2173000E4273000,Bastia-4,2B004,2B
CRS3035RES1000mN2173000E4274000,Bastia-4,2B004,2B
CRS3035RES1000mN2173000E4275000,Bastia-4,2B004,2B
CRS3035RES1000mN2174000E4274000,Bastia-4,2B004,2B
CRS3035RES1000mN2174000E4275000,Bastia-4,2B004,2B
CRS3035RES1000mN2175000E4274000,Bastia-3,2B003,2B
CRS3035RES1000mN2175000E4275000,Bastia-3,2B003,2B
CRS3035RES1000mN2176000E4274000,Bastia-3,2B003,2B
CRS3035RES1000mN2176000E4275000,Bastia-2,2B002,2B
CRS3035RES1000mN2177000E4274000,Bastia-2,2B002,2B
CRS3035RES1000mN2177000E4275000,Bastia-1,2B001,2B
CRS3035RES1000mN2178000E3754000,Côte Vermeille,66005,66
CRS3035RES1000mN2178000E3755000,Côte Vermeille,66005,66
CRS3035RES1000mN2178000E4273000,Bastia-1,2B001,2B
CRS3035RES1000mN2178000E4274000,Bastia-1,2B001,2B
CRS3035RES1000mN2179000E3754000,Côte Vermeille,66005,66
CRS3035RES1000mN2179000E4274000,Bastia-1,2B001,2B
CRS3035RES1000mN2179000E4275000,Bastia-1,2B001,2B
CRS3035RES1000mN2179000E4276000,,,na
CRS3035RES1000mN2180000E4276000,Cap Corse,2B008,2B
CRS3035RES1000mN2181000E4276000,Cap Corse,2B008,2B
CRS3035RES1000mN2182000E3728000,Vallespir-Albères,66017,66
CRS3035RES1000mN2182000E3729000,Vallespir-Albères,66017,66
CRS3035RES1000mN2182000E4273000,Cap Corse,2B008,2B
CRS3035RES1000mN2182000E4274000,Cap Corse,2B008,2B
CRS3035RES1000mN2182000E4275000,Cap Corse,2B008,2B
CRS3035RES1000mN2182000E4276000,Cap Corse,2B008,2B
CRS3035RES1000mN2183000E3728000,Vallespir-Albères,66017,66
CRS3035RES1000mN2183000E3729000,Vallespir-Albères,66017,66
CRS3035RES1000mN2183000E4276000,Cap Corse,2B008,2B
CRS3035RES1000mN2183000E4277000,,,na
CRS3035RES1000mN2184000E3732000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3733000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3734000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3735000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3736000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3737000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3738000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3739000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3740000,Vallespir-Albères,66017,66
CRS3035RES1000mN2184000E3741000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3732000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3734000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3735000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3736000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3737000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3738000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3739000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3740000,Vallespir-Albères,66017,66
CRS3035RES1000mN2185000E3741000,Vallespir-Albères,66017,66
CRS3035RES1000mN2186000E3661000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2186000E3662000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2186000E3663000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2186000E3738000,Vallespir-Albères,66017,66
CRS3035RES1000mN2186000E3739000,Vallespir-Albères,66017,66
CRS3035RES1000mN2186000E3744000,Côte Vermeille,66005,66
CRS3035RES1000mN2186000E3745000,Côte Vermeille,66005,66
CRS3035RES1000mN2186000E3746000,Côte Vermeille,66005,66
CRS3035RES1000mN2186000E3747000,Côte Vermeille,66005,66
CRS3035RES1000mN2186000E3748000,Côte Vermeille,66005,66
CRS3035RES1000mN2186000E3749000,,,na
CRS3035RES1000mN2187000E3661000,,,na
CRS3035RES1000mN2187000E3662000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2187000E3738000,Vallespir-Albères,66017,66
CRS3035RES1000mN2187000E3739000,Vallespir-Albères,66017,66
CRS3035RES1000mN2187000E3744000,Côte Vermeille,66005,66
CRS3035RES1000mN2187000E3745000,Côte Vermeille,66005,66
CRS3035RES1000mN2187000E3746000,Côte Vermeille,66005,66
CRS3035RES1000mN2187000E3747000,Côte Vermeille,66005,66
CRS3035RES1000mN2187000E3748000,Côte Vermeille,66005,66
CRS3035RES1000mN2187000E3749000,,,na
CRS3035RES1000mN2188000E3658000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2188000E3659000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2188000E3665000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2188000E3676000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2189000E3664000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2189000E3665000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2189000E3666000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2189000E3677000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2190000E3666000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2190000E3667000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2190000E3738000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2190000E3739000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2191000E3667000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2191000E3738000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2191000E3739000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2192000E3742000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2192000E3743000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2192000E3744000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2192000E3745000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2192000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2193000E3742000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2193000E3743000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2193000E3744000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2193000E3745000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2193000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2194000E3740000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2194000E3741000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2194000E3742000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2194000E3743000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2194000E3746000,Côte Sableuse,66003,66
CRS3035RES1000mN2194000E3747000,Côte Sableuse,66003,66
CRS3035RES1000mN2194000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2195000E3741000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2195000E3742000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2195000E3743000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2195000E3746000,Côte Sableuse,66003,66
CRS3035RES1000mN2195000E3747000,Côte Sableuse,66003,66
CRS3035RES1000mN2195000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2195000E4268000,Cap Corse,2B008,2B
CRS3035RES1000mN2196000E3726000,Aspres,66001,66
CRS3035RES1000mN2196000E3727000,Aspres,66001,66
CRS3035RES1000mN2196000E3744000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2196000E3745000,Côte Sableuse,66003,66
CRS3035RES1000mN2196000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2197000E3726000,Aspres,66001,66
CRS3035RES1000mN2197000E3727000,Aspres,66001,66
CRS3035RES1000mN2197000E3744000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2197000E3745000,Plaine d'Illibéris,66012,66
CRS3035RES1000mN2198000E3696000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2198000E3697000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2198000E3698000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2198000E3699000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2198000E3726000,Aspres,66001,66
CRS3035RES1000mN2199000E3697000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2199000E3698000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2199000E3699000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2199000E3726000,Aspres,66001,66
CRS3035RES1000mN2199000E3727000,Aspres,66001,66
CRS3035RES1000mN2199000E4270000,Cap Corse,2B008,2B
CRS3035RES1000mN2199000E4271000,Cap Corse,2B008,2B
CRS3035RES1000mN2200000E3730000,Perpignan-6,66011,66
CRS3035RES1000mN2200000E3731000,Perpignan-5,66010,66
CRS3035RES1000mN2200000E3732000,Perpignan-5,66010,66
CRS3035RES1000mN2200000E3733000,Perpignan-5,66010,66
CRS3035RES1000mN2200000E3736000,Perpignan-5,66010,66
CRS3035RES1000mN2200000E3737000,Perpignan-4,66009,66
CRS3035RES1000mN2200000E3746000,Côte Sableuse,66003,66
CRS3035RES1000mN2200000E4267000,Cap Corse,2B008,2B
CRS3035RES1000mN2201000E3671000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2201000E3718000,Vallée de la Têt,66016,66
CRS3035RES1000mN2201000E3719000,Vallée de la Têt,66016,66
CRS3035RES1000mN2201000E3730000,Perpignan-6,66011,66
CRS3035RES1000mN2201000E3731000,Perpignan-6,66011,66
CRS3035RES1000mN2201000E3732000,Perpignan-6,66011,66
CRS3035RES1000mN2201000E3733000,Perpignan-5,66010,66
CRS3035RES1000mN2201000E3736000,Perpignan-5,66010,66
CRS3035RES1000mN2201000E3737000,Perpignan-4,66009,66
CRS3035RES1000mN2202000E3671000,Pyrénées catalanes,66013,66
CRS3035RES1000mN2202000E3714000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3715000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3716000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3717000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3728000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3729000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3730000,Vallée de la Têt,66016,66
CRS3035RES1000mN2202000E3731000,Perpignan-6,66011,66
CRS3035RES1000mN2202000E3732000,Perpignan-6,66011,66
CRS3035RES1000mN2202000E3733000,Perpignan-6,66011,66
CRS3035RES1000mN2202000E3736000,Perpignan-5,66010,66
CRS3035RES1000mN2202000E3737000,Perpignan-5,66010,66
CRS3035RES1000mN2202000E3738000,Perpignan-4,66009,66
CRS3035RES1000mN2202000E3739000,Perpignan-3,66008,66
CRS3035RES1000mN2202000E3740000,Perpignan-3,66008,66
CRS3035RES1000mN2202000E3742000,Perpignan-3,66008,66
CRS3035RES1000mN2202000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2203000E3714000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3715000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3716000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3717000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3728000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3729000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3731000,Vallée de la Têt,66016,66
CRS3035RES1000mN2203000E3732000,Perpignan-6,66011,66
CRS3035RES1000mN2203000E3733000,Perpignan-6,66011,66
CRS3035RES1000mN2203000E3736000,Perpignan-5,66010,66
CRS3035RES1000mN2203000E3739000,Perpignan-3,66008,66
CRS3035RES1000mN2203000E3740000,Perpignan-3,66008,66
CRS3035RES1000mN2203000E3741000,Perpignan-2,66007,66
CRS3035RES1000mN2203000E3742000,Perpignan-2,66007,66
CRS3035RES1000mN2203000E3743000,Perpignan-2,66007,66
CRS3035RES1000mN2203000E3748000,Côte Sableuse,66003,66
CRS3035RES1000mN2204000E3720000,Vallée de la Têt,66016,66
CRS3035RES1000mN2204000E3721000,Vallée de la Têt,66016,66
CRS3035RES1000mN2204000E3722000,Vallée de la Têt,66016,66
CRS3035RES1000mN2204000E3723000,Vallée de la Têt,66016,66
CRS3035RES1000mN2204000E3732000,Ribéral,66014,66
CRS3035RES1000mN2204000E3733000,Ribéral,66014,66
CRS3035RES1000mN2204000E3734000,Perpignan-6,66011,66
CRS3035RES1000mN2204000E3735000,Perpignan-6,66011,66
CRS3035RES1000mN2204000E3736000,Perpignan-6,66011,66
CRS3035RES1000mN2204000E3737000,Perpignan-6,66011,66
CRS3035RES1000mN2204000E3738000,Perpignan-3,66008,66
CRS3035RES1000mN2204000E3739000,Perpignan-2,66007,66
CRS3035RES1000mN2204000E3740000,Perpignan-2,66007,66
CRS3035RES1000mN2204000E3741000,Perpignan-2,66007,66
CRS3035RES1000mN2205000E3720000,Vallée de la Têt,66016,66
CRS3035RES1000mN2205000E3721000,Vallée de la Têt,66016,66
CRS3035RES1000mN2205000E3722000,Vallée de la Têt,66016,66
CRS3035RES1000mN2205000E3723000,Vallée de la Têt,66016,66
CRS3035RES1000mN2205000E3732000,Ribéral,66014,66
CRS3035RES1000mN2205000E3733000,Ribéral,66014,66
CRS3035RES1000mN2205000E3734000,Ribéral,66014,66
CRS3035RES1000mN2205000E3735000,Ribéral,66014,66
CRS3035RES1000mN2205000E3736000,Perpignan-1,66006,66
CRS3035RES1000mN2205000E3737000,Perpignan-1,66006,66
CRS3035RES1000mN2205000E3738000,Perpignan-1,66006,66
CRS3035RES1000mN2205000E3739000,Perpignan-1,66006,66
CRS3035RES1000mN2205000E3740000,Perpignan-2,66007,66
CRS3035RES1000mN2205000E3741000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3721000,Vallée de la Têt,66016,66
CRS3035RES1000mN2206000E3732000,Ribéral,66014,66
CRS3035RES1000mN2206000E3733000,Ribéral,66014,66
CRS3035RES1000mN2206000E3736000,Perpignan-1,66006,66
CRS3035RES1000mN2206000E3737000,Perpignan-1,66006,66
CRS3035RES1000mN2206000E3738000,Perpignan-1,66006,66
CRS3035RES1000mN2206000E3739000,Perpignan-1,66006,66
CRS3035RES1000mN2206000E3740000,Perpignan-1,66006,66
CRS3035RES1000mN2206000E3741000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3744000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3745000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3748000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3749000,Perpignan-2,66007,66
CRS3035RES1000mN2206000E3750000,,,na
CRS3035RES1000mN2206000E4267000,,,na
CRS3035RES1000mN2207000E3732000,Ribéral,66014,66
CRS3035RES1000mN2207000E3733000,Ribéral,66014,66
CRS3035RES1000mN2207000E3736000,Perpignan-1,66006,66
CRS3035RES1000mN2207000E3737000,Perpignan-1,66006,66
CRS3035RES1000mN2207000E3738000,Perpignan-1,66006,66
CRS3035RES1000mN2207000E3739000,Perpignan-1,66006,66
CRS3035RES1000mN2207000E3740000,Perpignan-1,66006,66
CRS3035RES1000mN2207000E3744000,Perpignan-2,66007,66
CRS3035RES1000mN2207000E3745000,Perpignan-2,66007,66
CRS3035RES1000mN2207000E3748000,Perpignan-2,66007,66
CRS3035RES1000mN2207000E3749000,Perpignan-2,66007,66
CRS3035RES1000mN2208000E3738000,Perpignan-1,66006,66
CRS3035RES1000mN2208000E3739000,Côte Salanquaise,66004,66
CRS3035RES1000mN2208000E3740000,Côte Salanquaise,66004,66
CRS3035RES1000mN2208000E3741000,Perpignan-2,66007,66
CRS3035RES1000mN2209000E3738000,Côte Salanquaise,66004,66
CRS3035RES1000mN2209000E3739000,Côte Salanquaise,66004,66
CRS3035RES1000mN2209000E3740000,Côte Salanquaise,66004,66
CRS3035RES1000mN2209000E3741000,Côte Salanquaise,66004,66
CRS3035RES1000mN2211000E3736000,Vallée de l'Agly,66015,66
CRS3035RES1000mN2211000E3737000,Vallée de l'Agly,66015,66
CRS3035RES1000mN2212000E3707000,Vallée de l'Agly,66015,66
CRS3035RES1000mN2212000E3736000,Vallée de l'Agly,66015,66
CRS3035RES1000mN2212000E3737000,Vallée de l'Agly,66015,66
CRS3035RES1000mN2212000E3750000,Côte Salanquaise,66004,66
CRS3035RES1000mN2213000E3683000,Haute-Vallée de l'Aude,11014,11
CRS3035RES1000mN2213000E3736000,Vallée de l'Agly,66015,66
