idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES1000mN2900000E3443000,1000,146.5,64.2,6.1,23,3.9,54.2,6.1,3596238.5,6949.1,2.2,62,33.1,1,7.9,22.2,0,0,11,2,8.9,13.6,8.1,28.9,38.9,16.1,15.2,3.8,0
CRS3035RES1000mN2900000E3446000,1000,39.5,15.8,2.2,4.8,2.2,14.9,3.1,940700.4,1943.9,0,15.8,11,0.8,0.9,3.1,0,0,3.1,0.9,3.6,3.6,2.5,7.9,9.1,3.1,4.8,0.9,0
CRS3035RES1000mN2900000E3447000,1000,265,95.8,9.9,22.1,8.9,77,7.8,5667631.1,9682.1,0,95.8,33,0,7.9,54.9,0,0,18.4,13,26.2,25.4,13.1,72.1,45.8,27,20.1,3.9,0
CRS3035RES1000mN2900000E3450000,1000,238.5,105.9,2,34.1,4.9,82.9,8,5070589.9,10995,2,103.9,57.2,9.9,18.9,19.9,0,0.9,9,5,17.1,15.6,14.5,38.5,44,32.1,45.8,16.9,0
CRS3035RES1000mN2900000E3451000,1000,429,182.9,11,62,13.9,145.1,20,8912164.6,17711.1,5,177.9,54.9,27.8,42.9,57.3,0,16,23.4,13.4,28.5,38.6,32.1,76.2,79.9,58.9,57.9,20.1,0
CRS3035RES1000mN2900000E3452000,1000,201.5,79.1,8,19.1,10.1,67.1,6,4623105.7,8027.1,0,79.1,43,3,16,17.1,0,0.9,4.9,3.5,15.1,26,16.1,33.9,44.1,27.9,19.1,10.9,0
CRS3035RES1000mN2900000E3453000,1000,32,14.1,1.9,4,0.9,9.9,0.9,697928.9,1440,0.9,13.2,7.9,0,5,1.2,0,0,0.9,0,0,3.1,5,4,5.8,6,5.1,2.1,0
CRS3035RES1000mN2900000E3454000,1000,109,44.1,2.1,10.2,0,39.9,4.1,2534073.6,4272.1,0,44.1,25,1.8,10.2,7.1,0,0,3,3.9,6,10.2,7,18.9,20,15.8,20.3,3.9,0
CRS3035RES1000mN2900000E3455000,1000,48,17,2,3,2,16,1,941509.8,1673,0,17,0,0,0,17,0,0,3,0,4,8,2,11,10,2,8,0,0
CRS3035RES1000mN2900000E3456000,1000,162.5,62.8,7.2,15,5.8,56.1,2.8,4022648.4,7569.2,2,60.8,7.9,6.8,9.1,39,0,1,7.9,2,12.7,13.8,11,19.9,29.2,23.1,27.9,15,0
CRS3035RES1000mN2900000E3457000,1000,31,14,4,4,0.9,13,0,715454.3,1832,0,14,6.1,1,6.9,0,0,0,0,0,0.9,2.1,0.9,2.2,6,5,13,0.9,0
CRS3035RES1000mN2900000E3460000,1000,62,31.7,4,11,0.7,27,0,1220605.9,3372.8,0,31.7,16.2,2.9,10.8,1.8,0,0,0.7,1,0,1.2,2.9,3.9,4.9,12.2,19.1,16.1,0
CRS3035RES1000mN2900000E3461000,1000,361,174.9,20.1,59.9,10.1,112.1,22.9,7630277.6,16195.1,10,164.9,44.8,19.1,47,64,0,39,8.1,0,19.9,28.1,23.9,34,63.8,55.1,104,24.1,0
CRS3035RES1000mN2900000E3462000,1000,99.5,46.9,2.1,14.9,1,40,4,2652995.4,4826.1,1,45.9,12,4.8,13,16.1,1,0,4,3.1,3.6,3,3.8,18,14.9,15,21.1,13,0
CRS3035RES1000mN2900000E3463000,1000,27,11,2.1,5.1,2.1,8.8,0.8,517250.3,1245.7,0,11,2.9,0.9,2.1,5.1,0,0,0.8,0.9,2.9,2.9,2.1,5.9,2.9,3,4.2,1.4,0
CRS3035RES1000mN2900000E3490000,1000,417,150.8,5.1,21,13.8,114,13.1,9831228.2,16021,0,150.8,21.2,4.8,31.9,92.9,0,0,24.9,9.5,28.8,44,40.6,69.2,101.8,47.9,31.2,19.1,0
CRS3035RES1000mN2900000E3491000,1000,36,14.2,1.1,2.1,1.1,10.9,2.1,732575.6,1268,0,14.2,3.7,0,6.2,4.3,0,0,0.8,2.1,2.8,3.9,1.1,3.9,7.2,2.9,9.2,2.1,0
CRS3035RES1000mN2900000E3492000,1000,94.5,32.8,0,3.1,0.8,29.9,0.8,2289640.1,3571.2,0,32.8,9.8,0.8,6,16.2,0,0,6.1,4.9,10.2,7.2,2,24.1,18.9,7.2,9.9,4,0
CRS3035RES1000mN2900000E3493000,1000,25,12.8,2.2,6,1,11,2.2,562975.3,1624,0,12.8,7.8,0,4,1,0,0,0,1,1.8,1.8,2.2,2.2,6,0,9,1,0
CRS3035RES1000mN2900000E3496000,1000,31,14.1,1,5.1,1,12.9,0,657289.9,1427,0,14.1,5.9,0.9,6.1,1.2,0,0,0,0.9,2.1,3.1,0.9,5.1,8,3.1,6.8,1,0
CRS3035RES1000mN2900000E3497000,1000,50,15.9,0.9,3.1,3.1,13.1,1.9,1114612.3,1741.9,0,15.9,10,0,1.9,4,0,0,0.9,1.9,8.1,8.1,1.9,10,10,4.1,3.1,1.9,0
CRS3035RES1000mN2900000E3540000,1000,43,14.1,2,2.9,2.9,12.1,2,802600.2,1453.1,0,14.1,8,0,4.1,2,0,0,2.8,2,5.9,6.1,3,10.2,7.9,2,0,3.1,0
CRS3035RES1000mN2900000E3541000,1000,225,94.7,9,27.2,7.2,73.2,5,4521340.9,8699.2,1.8,92.9,44.1,2.8,24.1,23.7,0,4,8.8,6.5,17.1,22.5,13.9,41,41.2,27,37.9,9.1,0
CRS3035RES1000mN2900000E3542000,1000,115,44,1.8,11.1,7,38.2,0,2634962.7,4585.9,0,44,11.8,0,19.1,13.1,0,0,7,1.2,9.1,10.8,8.8,15,17.9,15.2,24.2,5.8,0
CRS3035RES1000mN2900000E3543000,1000,48,17,0.9,0,0.9,16.1,2.1,1178430.4,1881.2,0,17,2.1,0,10.9,4,0,0,2.8,2.1,2.8,4.9,1.2,9.2,7,15,3,0,0
CRS3035RES1000mN2900000E3544000,1000,135,59.1,4.9,10,1.9,50.9,3,3046264,5969,0,59.1,9.9,4.1,36,9.1,0,0,2.8,4,7.9,5.1,11.1,20,22.1,16,40,6,0
CRS3035RES1000mN2900000E3545000,1000,151.5,50.1,7.1,2.9,7.1,41.9,2.9,3527343.3,5298.1,0,50.1,7.9,0,10.9,31.3,0,0,9.2,1.9,12,17.5,16.8,22,40,22.1,6.1,2.9,1
CRS3035RES1000mN2900000E3546000,1000,45,19,0,3.1,1,16.1,1.9,1211043.5,1786.8,0,19,7.1,2.1,4.8,5,0,0,0,0,7.1,1,3.1,3.8,12.1,10.9,5.9,1.1,0
CRS3035RES1000mN2900000E3547000,1000,91.5,38,2,8,2,37,1,2088925,3605,0,38,12.2,6.9,7.9,11,0,0,4,2.9,4,1.6,12,10,15.9,10.9,25,5.2,0
CRS3035RES1000mN2900000E3548000,1000,320,131,5,26.9,9,108,6,6916906.1,12871,0,131,13,14,58.9,45.1,0,0,14.5,9.1,18.5,21.8,18,47,49,47.2,80,14.9,0
CRS3035RES1000mN2900000E3549000,1000,107,43,2.9,13.1,3.9,39.1,2,2220680.2,4104,2,41,4,13,9.1,16.9,0,0,4.9,2,9.5,10.5,7.9,25.1,20,13,9.2,3.9,1
