"filename","source_url","institution","description","last_update","download_date"
"carreaux_nivNaturel_met.csv","https://www.data.gouv.fr/datasets/revenus-pauvrete-et-niveau-de-vie-donnees-carroyees","INSEE","Revenus, pauvreté et niveau de vie - Données carroyées (FiLoSoFi)","2026-04-24","2026-04-25"
"carreaux_nivNaturel_mart.csv","","","","","2026-04-25"
"carreaux_nivNaturel_reun.csv","","","","","2026-04-25"
